Fold, 3x3, 5x5, 7x7
1, 0.03796998783946037, 0.05247381329536438, 0.05801204591989517
2, 0.05122718587517738, 0.052434198558330536, 0.07239361107349396
3, 0.056529451161623, 0.04158655181527138, 0.07435448467731476
4, 0.04585742577910423, 0.04520716890692711, 0.06371498107910156
5, 0.05860196053981781, 0.048393432050943375, 0.06303498893976212
6, 0.05388730764389038, 0.045062098652124405, 0.07054942846298218
7, 0.05391485244035721, 0.071861632168293, 0.05711420625448227
8, 0.0721539556980133, 0.0401904322206974, 0.05801966041326523
9, 0.04984080791473389, 0.04327256605029106, 0.06573645025491714
10, 0.07771438360214233, 0.05328831449151039, 0.04680206999182701
